title,price,link,site
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-10700 2.9GHz, 16GB DDR4, NVIDIA GeForce GTX 1660 Super 6GB, 1TB PCI-E NVMe SSD, Wi-Fi Ready & Windows 10 Home (GXiVR8560A2, Black)",,/CyberpowerPC-Xtreme-i7-10700-GeForce-GXiVR8560A2/dp/B0885ZTS23/ref=sr_1_36?dchild=1&keywords=PC&qid=1619718202&sr=8-36,amazon
iBUYPOWER Desktop Gaming Computer | Intel Core i7-10700F | NVIDIA GeForce GTX 1660Ti | 16GB DDR4 | 240GBSSD +1TBHDD | Mouse and Keyboard | Windows 10 | with Woov High Speed 6FT HDMI Cable Bundle,,/iBUYPOWER-Computer-i7-10700F-240GBSSD-Keyboard/dp/B08TBCK58Z/ref=sr_1_37?dchild=1&keywords=PC&qid=1619718202&sr=8-37,amazon
"HP Envy All-in-One PC, NVIDIA GeForce GTX 1650, 10th Gen Intel Core i7-10700 Processor, 16 GB RAM, 1 TB SSD Storage, 31.5” 4K UHD Display, Wide-Color-Gamut & 600 nits Peak Brightness (32-a1010, 2021)",2196,/HP-Processor-Wide-Color-Gamut-Brightness-32-a1010/dp/B08JVLMYTD/ref=sr_1_38?dchild=1&keywords=PC&qid=1619718202&sr=8-38,amazon
"Skytech Azure Gaming PC Desktop - AMD Ryzen 5 3600 3.6GHz, RTX 3070 8GB, 16GB DDR4 3000, 1TB NVME, B450 Motherboard, 650W Gold PSU, Windows 10 Home 64-bit, Black",,/Skytech-Azure-Gaming-Desktop-Motherboard/dp/B08M7R85VV/ref=sr_1_39?dchild=1&keywords=PC&qid=1619718202&sr=8-39,amazon
iBUYPOWER Desktop Gaming Computer | Intel Core i7-10700F | NVIDIA GeForce GTX 1660Ti | 32GB DDR4 Memory | 1024GBSSD +1TBHDD | Mouse and Keyboard | Windows 10 | with Woov Mouse Pad Bundle,,/iBUYPOWER-Computer-i7-10700F-1024GBSSD-Keyboard/dp/B08TB8SMS9/ref=sr_1_40?dchild=1&keywords=PC&qid=1619718202&sr=8-40,amazon
"Dell Inspiron 27 7790 Touch All in One 1TB SSD 32GB RAM Extreme (Intel 10th Gen Core i7 Processor Turbo Boost to 4.90GHz, 32 GB RAM, 1 TB SSD, 27"" Touchscreen FullHD IPS, Win 10) PC Desktop Computer",1550,/Dell-Inspiron-Processor-Touchscreen-Computer/dp/B0818BX4XG/ref=sr_1_41?dchild=1&keywords=PC&qid=1619718202&sr=8-41,amazon
"EXPC Codex R 10SI-026US by_MSI Gaming Desktop PC (i5-10400F, 16GB RAM, 512GB SATA SSD + 1TB HDD, GTX 1660Ti 6GB, Windows 10) Professional Gamer PC Computer",1349,/Codex-10SI-026US-i5-10400F-Professional-Computer/dp/B091DPB4PB/ref=sr_1_42?dchild=1&keywords=PC&qid=1619718202&sr=8-42,amazon
"CyberpowerPC Gamer Xtreme VR Gaming PC, Liquid Cool Intel Core i9-9900K 3.6GHz, NVIDIA GeForce RTX 2070 Super 8GB, 16GB DDR4, 1TB PCI-E NVMe SSD, WiFi Ready & Win 10 Home (GXiVR8080A8, Black)",3499,/CyberpowerPC-Xtreme-i9-9900K-GeForce-GXiVR8080A8/dp/B07TRPGPCL/ref=sr_1_43?dchild=1&keywords=PC&qid=1619718202&sr=8-43,amazon
"ROG Strix GL10DH Gaming Desktop PC, AMD Ryzen 7 3700X, GeForce GTX 1660 Ti, 16GB DDR4 RAM, 512GB SSD + 1TB SSD, Wi-Fi 5, Windows 10 Home, GL10DH-PH762",,/GL10DH-Desktop-GeForce-Windows-GL10DH-PH762/dp/B084DDRP5H/ref=sr_1_44?dchild=1&keywords=PC&qid=1619718202&sr=8-44,amazon
Asus PB60G-B5015ZD Desktop Computer - Core i5 i5-8400T - 16 GB RAM - 512 GB SSD - Mini PC - Black - Windows 10 Pro 64-bit - NVIDIA Quadro P620 - Wireless LAN - Bluetooth,,/Asus-PB60G-B5015ZD-Desktop-Computer-Bluetooth/dp/B07YSKKV6M/ref=sr_1_45?dchild=1&keywords=PC&qid=1619718202&sr=8-45,amazon
